station_abbr,reference_timestamp,tre200h0,tre200hn,tre200hx,tre005h0,tre005hn,ure200h0,pva200h0,tde200h0,prestah0,pp0qffh0,pp0qnhh0,ppz700h0,ppz850h0,fkl010h1,dkl010h0,fkl010h0,fu3010h0,fu3010h1,fkl010h3,fu3010h3,wcc006h0,fve010h0,rre150h0,htoauths,gre000h0,oli000h0,olo000h0,osr000h0,ods000h0,sre000h0,erefaoh0,tso005hs,tso010hs,tso020hs,ts_utc
PUY,11.11.2025 12:00,10.9,10.7,11.1,,,60.1,7.8,3.5,964.3,1018.2,1018.2,,,3.1,167.0,1.4,5.0,11.2,2.9,10.4,,,0.0,,372,,,,149,60,0.183,,,,2025-11-11 12:00:00+00:00
PUY,11.11.2025 13:00,11.0,10.9,11.2,,,61.1,8.1,3.8,964.0,1017.9,1017.9,,,2.6,174.0,1.0,3.6,9.4,2.4,8.6,,,0.0,,306,,,,145,59,0.152,,,,2025-11-11 13:00:00+00:00
PUY,11.11.2025 14:00,11.1,10.8,11.3,,,68.3,9.0,5.5,963.6,1017.5,1017.5,,,2.5,172.0,0.8,2.9,9.0,2.1,7.6,,,0.0,,241,,,,131,43,0.113,,,,2025-11-11 14:00:00+00:00
PUY,11.11.2025 15:00,11.4,11.3,11.5,,,66.2,8.9,5.3,963.4,1017.2,1017.3,,,1.9,169.0,0.6,2.2,6.8,1.7,6.1,,,0.0,,171,,,,119,10,0.068,,,,2025-11-11 15:00:00+00:00
PUY,11.11.2025 16:00,11.0,10.7,11.2,,,67.3,8.8,5.1,963.5,1017.3,1017.4,,,1.8,166.0,0.5,1.8,6.5,1.6,5.8,,,0.0,,57,,,,40,11,0.001,,,,2025-11-11 16:00:00+00:00
PUY,11.11.2025 17:00,9.6,9.2,10.2,,,71.7,8.6,4.8,963.5,1017.6,1017.4,,,2.2,34.0,0.7,2.5,7.9,2.0,7.2,,,0.0,,2,,,,2,0,0.001,,,,2025-11-11 17:00:00+00:00
PUY,11.11.2025 18:00,9.0,8.8,9.1,,,75.2,8.6,4.8,963.6,1017.9,1017.5,,,3.5,18.0,1.6,5.8,12.6,3.4,12.2,,,0.0,,1,,,,0,0,0.007,,,,2025-11-11 18:00:00+00:00
PUY,11.11.2025 19:00,8.6,8.2,8.9,,,74.3,8.3,4.3,963.5,1017.9,1017.4,,,4.0,24.0,1.9,6.8,14.4,3.8,13.7,,,0.0,,1,,,,0,0,0.009,,,,2025-11-11 19:00:00+00:00
PUY,11.11.2025 20:00,8.0,7.8,8.1,,,76.9,8.2,4.2,963.8,1018.3,1017.7,,,3.6,21.0,2.0,7.2,13.0,3.4,12.2,,,0.0,,1,,,,0,0,0.008,,,,2025-11-11 20:00:00+00:00
PUY,11.11.2025 21:00,7.7,7.6,7.9,,,76.5,8.1,3.9,963.9,1018.5,1017.8,,,4.0,23.0,2.1,7.6,14.4,3.7,13.3,,,0.0,,1,,,,0,0,0.009,,,,2025-11-11 21:00:00+00:00
PUY,11.11.2025 22:00,7.7,7.3,7.8,,,75.0,7.8,3.5,964.0,1018.6,1017.9,,,4.6,22.0,2.2,7.9,16.6,4.2,15.1,,,0.0,,1,,,,0,0,0.01,,,,2025-11-11 22:00:00+00:00
PUY,11.11.2025 23:00,7.2,7.1,7.3,,,77.9,7.9,3.6,964.2,1018.9,1018.1,,,3.6,23.0,2.1,7.6,13.0,3.5,12.6,,,0.0,,1,,,,0,0,0.008,,,,2025-11-11 23:00:00+00:00
PUY,12.11.2025 00:00,6.8,6.8,6.9,,,75.1,7.4,2.7,964.3,1019.1,1018.2,,,4.1,22.0,2.3,8.3,14.8,3.9,14.0,,,0.0,,1,,,,0,0,0.01,,,,2025-11-12 00:00:00+00:00
PUY,12.11.2025 01:00,6.7,6.4,7.0,,,78.3,7.7,3.2,964.4,1019.2,1018.3,,,3.5,27.0,2.0,7.2,12.6,3.4,12.2,,,0.0,,1,,,,0,0,0.007,,,,2025-11-12 01:00:00+00:00
PUY,12.11.2025 02:00,6.3,6.1,6.4,,,80.9,7.7,3.3,964.3,1019.2,1018.2,,,3.4,24.0,2.0,7.2,12.2,3.2,11.5,,,0.0,,1,,,,0,0,0.005,,,,2025-11-12 02:00:00+00:00
PUY,12.11.2025 03:00,6.2,6.1,6.3,,,81.9,7.8,3.3,964.1,1019.0,1018.0,,,3.6,21.0,2.0,7.2,13.0,3.5,12.6,,,0.0,,1,,,,0,0,0.005,,,,2025-11-12 03:00:00+00:00
PUY,12.11.2025 04:00,6.0,5.7,6.2,,,81.1,7.6,3.0,963.9,1018.9,1017.8,,,3.5,24.0,2.0,7.2,12.6,3.4,12.2,,,0.0,,1,,,,0,0,0.005,,,,2025-11-12 04:00:00+00:00
PUY,12.11.2025 05:00,6.0,5.8,6.1,,,79.2,7.4,2.6,964.0,1018.9,1017.9,,,4.0,21.0,2.0,7.2,14.4,3.8,13.7,,,0.0,,1,,,,0,0,0.006,,,,2025-11-12 05:00:00+00:00
PUY,12.11.2025 06:00,5.7,5.6,5.8,,,82.1,7.5,2.9,964.3,1019.3,1018.2,,,3.5,21.0,2.0,7.2,12.6,3.3,11.9,,,0.0,,1,,,,0,0,0.004,,,,2025-11-12 06:00:00+00:00
PUY,12.11.2025 07:00,5.6,5.5,5.7,,,84.2,7.7,3.2,964.6,1019.7,1018.5,,,3.3,22.0,1.9,6.8,11.9,3.2,11.5,,,0.0,,12,,,,11,0,0.005,,,,2025-11-12 07:00:00+00:00
PUY,12.11.2025 08:00,6.8,5.8,7.6,,,84.0,8.3,4.3,965.1,1019.9,1019.0,,,3.0,6.0,1.0,3.6,10.8,2.8,10.1,,,0.0,,89,,,,76,0,0.031,,,,2025-11-12 08:00:00+00:00
PUY,12.11.2025 09:00,8.1,7.7,8.4,,,86.5,9.4,6.0,965.5,1020.1,1019.5,,,2.8,233.0,0.7,2.5,10.1,2.5,9.0,,,0.0,,202,,,,125,43,0.08,,,,2025-11-12 09:00:00+00:00
PUY,12.11.2025 10:00,8.5,8.3,8.7,,,86.5,9.6,6.4,965.6,1020.1,1019.6,,,2.6,220.0,0.9,3.2,9.4,2.5,9.0,,,0.0,,280,,,,165,41,0.119,,,,2025-11-12 10:00:00+00:00
PUY,12.11.2025 11:00,9.5,9.0,9.9,,,83.4,9.9,6.9,965.4,1019.7,1019.4,,,3.0,188.0,0.9,3.2,10.8,2.7,9.7,,,0.0,,389,,,,194,60,0.171,,,,2025-11-12 11:00:00+00:00
PUY,12.11.2025 12:00,10.4,9.5,11.2,,,80.6,10.1,7.2,964.8,1018.8,1018.7,,,2.6,202.0,0.9,3.2,9.4,2.3,8.3,,,0.0,,379,,,,160,60,0.174,,,,2025-11-12 12:00:00+00:00
PUY,12.11.2025 13:00,10.8,10.6,10.9,,,79.0,10.2,7.3,964.5,1018.5,1018.4,,,2.0,180.0,0.8,2.9,7.2,1.9,6.8,,,0.0,,314,,,,150,60,0.147,,,,2025-11-12 13:00:00+00:00
PUY,12.11.2025 14:00,11.3,10.9,12.1,,,78.1,10.4,7.6,964.1,1018.0,1018.0,,,1.8,169.0,0.6,2.2,6.5,1.6,5.8,,,0.0,,281,,,,162,54,0.124,,,,2025-11-12 14:00:00+00:00
PUY,12.11.2025 15:00,12.5,11.6,13.4,,,65.8,9.5,6.2,963.8,1017.4,1017.7,,,2.8,135.0,0.9,3.2,10.1,2.6,9.4,,,0.0,,176,,,,106,43,0.074,,,,2025-11-12 15:00:00+00:00
PUY,12.11.2025 16:00,10.9,10.3,11.5,,,75.2,9.8,6.7,963.9,1017.8,1017.8,,,2.1,117.0,0.6,2.2,7.6,1.9,6.8,,,0.0,,42,,,,35,0,0.004,,,,2025-11-12 16:00:00+00:00
PUY,12.11.2025 17:00,10.6,10.3,10.9,,,69.3,8.9,5.2,964.0,1018.0,1017.9,,,2.9,22.0,1.2,4.3,10.4,2.8,10.1,,,0.0,,1,,,,1,0,0.007,,,,2025-11-12 17:00:00+00:00
PUY,12.11.2025 18:00,10.7,10.4,10.9,,,64.6,8.3,4.3,964.3,1018.3,1018.2,,,3.3,22.0,1.2,4.3,11.9,3.0,10.8,,,0.0,,1,,,,0,0,0.009,,,,2025-11-12 18:00:00+00:00
