station_abbr;reference_timestamp;tre200h0;tre200hn;tre200hx;tre005h0;tre005hn;ure200h0;pva200h0;tde200h0;prestah0;pp0qffh0;pp0qnhh0;ppz700h0;ppz850h0;fkl010h1;dkl010h0;fkl010h0;fu3010h0;fu3010h1;fkl010h3;fu3010h3;wcc006h0;fve010h0;rre150h0;htoauths;gre000h0;oli000h0;olo000h0;osr000h0;ods000h0;sre000h0;erefaoh0
PUY;01.01.2025 00:00;0.9;0.1;1.2;;;98.1;6.4;0.6;976.8;1033.5;1031.3;;;2.7;11;1.1;4;9.7;2.4;8.6;;;0;;1;;;;0;0;-0.004
PUY;01.01.2025 01:00;0.4;0.2;0.5;;;93.6;5.9;-0.6;976.4;1033.2;1030.8;;;2.8;27;1.6;5.8;10.1;2.5;9;;;0;;1;;;;0;0;-0.002
PUY;01.01.2025 02:00;0.5;0.2;0.8;;;95.3;6;-0.1;976.4;1033.2;1030.8;;;2.8;23;1.6;5.8;10.1;2.5;9;;;0;;1;;;;0;0;-0.003
PUY;01.01.2025 03:00;0.8;0.5;0.9;;;98.2;6.3;0.5;976.2;1033;1030.6;;;3.3;24;1.8;6.5;11.9;3;10.8;;;0;;1;;;;0;0;-0.003
PUY;01.01.2025 04:00;0.6;0.4;0.7;;;89.2;5.7;-1;975.8;1032.6;1030.2;;;3.8;28;1.7;6.1;13.7;3.6;13;;;0;;1;;;;0;0;0
PUY;01.01.2025 05:00;0.6;0.5;0.6;;;82.8;5.3;-2;975.7;1032.5;1030.1;;;2.9;25;1.7;6.1;10.4;2.8;10.1;;;0;;1;;;;0;0;0.002
PUY;01.01.2025 06:00;0.3;-0.4;0.6;;;88.2;5.5;-1.5;975.5;1032.4;1029.9;;;2.5;41;1.1;4;9;2.3;8.3;;;0;;1;;;;0;0;-0.002
PUY;01.01.2025 07:00;0.7;0.4;0.9;;;90;5.8;-0.8;975.5;1032.2;1029.9;;;3.3;28;1.5;5.4;11.9;3.1;11.2;;;0;;1;;;;0;0;-0.001
PUY;01.01.2025 08:00;0.6;-0.1;1;;;85;5.4;-1.7;975.4;1032.1;1029.8;;;2.7;24;1;3.6;9.7;2.5;9;;;0;;16;;;;12;3;0.001
PUY;01.01.2025 09:00;2.1;1.3;3;;;80.2;5.7;-1;975.4;1031.8;1029.8;;;2;21;0.8;2.9;7.2;1.9;6.8;;;0;;96;;;;36;57;0.029
PUY;01.01.2025 10:00;3.6;3.1;3.9;;;84.6;6.7;1.3;975.5;1031.6;1029.9;;;2.1;180;0.4;1.4;7.6;1.8;6.5;;;0;;228;;;;52;60;0.073
PUY;01.01.2025 11:00;4.2;3.9;4.7;;;86.5;7.1;2.1;975.1;1031;1029.5;;;2.2;207;0.8;2.9;7.9;2;7.2;;;0;;331;;;;69;60;0.112
PUY;01.01.2025 12:00;4.8;4.6;4.9;;;84.8;7.3;2.4;974.1;1029.9;1028.4;;;2.3;201;1;3.6;8.3;2.1;7.6;;;0;;367;;;;66;60;0.129
PUY;01.01.2025 13:00;5.7;4.8;6.6;;;80.7;7.4;2.6;973.2;1028.7;1027.5;;;2.1;191;0.6;2.2;7.6;2.1;7.6;;;0;;336;;;;51;60;0.122
PUY;01.01.2025 14:00;6.4;6.1;6.8;;;77.3;7.4;2.7;972.2;1027.5;1026.5;;;2.1;180;0.7;2.5;7.6;2;7.2;;;0;;263;;;;48;60;0.092
PUY;01.01.2025 15:00;6.8;6.3;7.4;;;75.4;7.4;2.7;971.7;1026.9;1025.9;;;1.6;180;0.5;1.8;5.8;1.5;5.4;;;0;;151;;;;40;60;0.043
PUY;01.01.2025 16:00;6.1;5.4;6.9;;;81.3;7.6;3.1;971.3;1026.7;1025.5;;;2.1;135;0.5;1.8;7.6;2;7.2;;;0;;40;;;;23;28;-0.009
PUY;01.01.2025 17:00;5;4.7;5.3;;;75.5;6.6;0.9;971.2;1026.7;1025.4;;;3.2;29;1.1;4;11.5;2.8;10.1;;;0;;3;;;;2;0;0.003
PUY;01.01.2025 18:00;4.9;4.6;5.3;;;61.2;5.3;-1.9;970.9;1026.5;1025.1;;;3.4;43;1.9;6.8;12.2;3.2;11.5;;;0;;1;;;;0;0;0.014
PUY;01.01.2025 19:00;4.7;4.2;5;;;59.2;5.1;-2.6;970.7;1026.3;1024.9;;;3.4;23;1.4;5;12.2;3.1;11.2;;;0;;1;;;;0;0;0.011
PUY;01.01.2025 20:00;4.7;4.2;5.4;;;57.2;4.9;-3.1;970.6;1026.2;1024.8;;;3.2;24;1.2;4.3;11.5;3;10.8;;;0;;1;;;;0;0;0.009
PUY;01.01.2025 21:00;4.7;4.5;5;;;56.9;4.9;-3.1;970.3;1025.8;1024.5;;;3.3;23;1.6;5.8;11.9;3.2;11.5;;;0;;1;;;;1;0;0.014
